video_id,title,publish_date
ry_mcAPVTOc,What's the difference between call vs apply in JavaScript?,2026-01-09T13:18:42Z
keTcXT145CI,React Performance Optimization Patterns Course,2026-01-08T15:08:41Z
tPeyD3ELDHw,Did you know - Harvard's CS50 isn't just a coding course. There are many variants...,2026-01-08T12:52:20Z
HihwnUepmdg,Need some coding experience? Contribute to Open Source.,2026-01-07T13:29:25Z
tr5Fapv80Cw,Building Agentic AI Workloads – Crash Course,2026-01-06T15:08:17Z
DIRnYM2dOs0,Have you ever tried rubber duck debugging?,2026-01-06T13:08:42Z
WSsOXo07LeE,OAuth 2.0 Course for Beginners,2026-01-05T16:03:15Z
y5aKEyPfLKs,"The JavaScript ecosystem is huge - and Vue's founder, Evan You, is trying to simplify it",2026-01-05T13:24:09Z
kFEBs8wuhiU,JavaScript coercion chaos at its finest,2026-01-04T13:55:51Z
EQH9MBHGyag,Why it's important to take ownership of your work - the way Dr. David J Malan sees it,2026-01-03T13:32:21Z
r36xQmTJe1c,"Music Production 101 – Master Sound Design, Mixing, and Mastering in FL Studio",2026-01-02T14:29:46Z
HwFw1abJkUs,Here's a little array method mystery for you...,2026-01-02T13:18:24Z
912L9KmzSLE,The advantages of being bilingual in tech,2026-01-01T12:52:41Z
jHInoiWHe0Q,The RACECAR challenge - Ready: GO!,2025-12-31T13:29:32Z
Fi8vnYgMiHA,So why should you still learn C programming in 2025 and beyond? Dr. David J. Malan has an answer.,2025-12-30T13:05:47Z
8Si7eCfEpB0,Browsers fight over who renders HTML the best. Which one do you think usually wins?,2025-12-29T13:17:22Z
lw1vTtFyfgg,All you need to start learning to code with freeCodeCamp is the will to do so.,2025-12-28T13:43:24Z
w_BIYb6WbtU,Did you know that HTML doesn't care about mistakes?,2025-12-27T13:32:31Z
Zo8AxO6sTQA,What's CS50's 72-hour Regret Clause? Dr. David J. Malan explains here.,2025-12-26T13:18:26Z
Iapgr6t6Nv0,Candy cane conditional: everyone gets a candy cane only once the tree is decorated...,2025-12-25T12:52:30Z
QZTOm8YVAW8,Which elf gets the candy cane?,2025-12-24T13:29:30Z
WKIjkxxNH0c,Build a Support Agent with Vercel AI SDK – Full Tutorial,2025-12-23T16:11:53Z
_fvW2bruZ2M,Take ownership. Advocate for yourself. Get to know the support team.,2025-12-23T13:05:27Z
QCSKhLuGR5c,How to remove trailing characters from a Python string using the .rstrip() method,2025-12-22T13:17:20Z
_-Tj3bPSYCI,How to get promoted as a dev w/out becoming a manager – Staff Engineer Santosh Yadav [Podcast #202],2025-12-22T12:40:45Z
taSwtU-sldo,What happens when you spread a string in JavaScript?,2025-12-21T13:43:34Z
FAKgFhWX8pQ,"This looks simple, but can you predict the output?",2025-12-20T13:32:25Z
f9-Vf_WNvT0,How to check if a string only contains whitespace in Python,2025-12-19T13:18:33Z
dSIVVX0vAsY,Unity 2D Pixel Art Game Tutorial,2025-12-18T14:58:24Z
uNS75JWOmBI,Don't chase a path that looks good just because you feel like you're supposed to,2025-12-18T12:52:39Z
vZHhmzT9TL8,How to use the .append() method in Python,2025-12-17T13:29:40Z
Q7P20fHJlm4,Intro to Supabase – Full Tutorial for Beginners,2025-12-16T14:43:47Z
qG2g1iv6ZbY,Event loop race: which one logs first?,2025-12-16T13:05:26Z
N2nbig3WjAI,How to use the .title() method in Python,2025-12-15T13:17:30Z
QgZoz4xFfLE,Array vs object gotcha in JavaScript,2025-12-14T13:43:24Z
slfaeQLn1cY,It's both really hard and really easy to make money. How can this be?,2025-12-13T13:32:23Z
lIghF_OewYg,"The ""AI is going to replace devs"" hype is over – 22-year dev veteran Jason Lengstorf [Podcast #201]",2025-12-12T14:01:21Z
jF2FnVVc4AU,How to use the .swapcase() method in Python,2025-12-12T13:18:29Z
UIf-SlmMays,n8n Tutorial – Zero to Hero Course,2025-12-11T15:34:06Z
yhTipwdwe9w,Fun fact about JavaScript,2025-12-11T12:52:21Z
kRv2ElPNAdY,From RNNs to Transformers: The Complete Neural Machine Translation Journey,2025-12-10T14:42:03Z
fLnkVdDPgso,How to split a string in Python,2025-12-10T13:29:24Z
9kKNFP9srjc,So how do closures work again...?,2025-12-09T13:05:16Z
BMt-qvrEcFY,Build Serverless AI Agents with Langbase,2025-12-08T14:25:10Z
gpm1hRv6WL8,The life of a software developer after work hours,2025-12-08T13:17:27Z
ja4OAzPLuM8,Type coercion in JavaScript can get a little wild...,2025-12-07T13:43:22Z
O3Q7WA38JXc,How to negotiate your salary like a pro using anchoring,2025-12-06T13:32:27Z
VgBQ0yBSjfM,How to build your own learning path using Open Source with Kunal Kushwaha [Podcast #200],2025-12-05T13:45:05Z
9UxVhurASxU,"The ""this"" keyword can be tricky. Ania helps you sort out one of its quirks here.",2025-12-05T13:18:28Z
mAFoROnOfHs,Git & GitHub Crash Course for Beginners [2026],2025-12-04T16:19:42Z
QpGTmAoEINA,Learning to code on the job - right in the browser,2025-12-04T12:52:33Z
wu8npoU37cI,"Become an AI Researcher Course – LLM, Math, PyTorch, Neural Networks, Transformers",2025-12-03T14:28:01Z
ikXDYsdg15c,Function declaration vs expression - what's the difference?,2025-12-03T13:29:23Z
21_I-12f5JE,NestJS Course for Beginners - Build Server-Side Applications,2025-12-02T15:33:24Z
zkJt9y7ixiY,AI tools can be super helpful - but they're not the answer to everything,2025-12-02T13:05:26Z
g_3IKHG-rfA,Harvard CS50’s Intro to R Programming – Full University Course,2025-12-01T15:25:39Z
OarYObjva0E,Only 6 values are falsey in JavaScript. Do you know what they are?,2025-12-01T13:17:33Z
zfUP1tIC64o,"Some upcoming features for freeCodeCamp - Tom talks about daily coding challenges, streaks, & more.",2025-11-30T13:43:26Z
URJBQ3b9n6Y,"Classic JavaScript gotcha: why does this print 3, 3, 3 instead of 0, 1, 2?",2025-11-29T13:32:19Z
voPcxCFMbbM,How to teach yourself programming with GitHub's Andrea Griffiths [Podcast #199],2025-11-28T15:01:40Z
08jTzcEMv_E,Move out of your parents' house ASAP? or stay if you can? Thomas discusses this with Quincy here.,2025-11-28T13:18:21Z
_fGRKMQMl68,Code a turkey timer!,2025-11-27T12:52:21Z
_coTZxZ-H5Q,Complete French Language Beginners Course – Learn A1 Level French,2025-11-26T14:11:45Z
j-Mc04RlGXc,Pop quiz: does '5' equal 5 in code?,2025-11-26T13:29:18Z
q4Ovbh3tpU0,Do something toward learning programming every day - even if it's just 10 minutes,2025-11-25T13:05:25Z
nbsz6muQRT4,Learn CSS Flexbox in 2 Hours – Tutorial for Beginners,2025-11-24T14:44:43Z
iMLGy2wEE_g,Can you guess what this code logs?,2025-11-24T13:17:33Z
P6fLZFJsH7Y,What it's like living with daily migraines - and how Thomas manages them,2025-11-23T13:43:27Z
EWHWX1yJsS0,Remember floppy disks?,2025-11-22T13:32:20Z
GpxFF82I8Nk,When NOT to use AI in your hackathon project with MLH winners Cindy Cui and Alison Co [Podcast #198],2025-11-21T14:45:05Z
MZVyASCY8sQ,Learn programming fundamentals first. Then you can use AI to help you become more efficient.,2025-11-21T13:18:21Z
LsY7U2Muau8,Do you know who the first computer programmer was?,2025-11-20T12:52:30Z
9q24hqwm4QM,From laser-etching microchips to rediscovering a love of coding,2025-11-19T13:29:26Z
tdsQwuyS6DQ,"Create a Cute Room Portfolio with Blender, Three.js, JavaScript – Beginner Course",2025-11-19T12:11:33Z
626BcUO84og,JavaScript Clean Code Course – Fix Code Smells & Refactor,2025-11-18T14:00:11Z
zwzjaNmh-r4,Did you know that you can buy a domain name that's an emoji?,2025-11-18T13:05:24Z
KOutPbKc9UM,Intro to Backend Web Development – Node.js & Express Tutorial for Beginners,2025-11-17T14:00:36Z
H6gHXV6OgFU,How to get back into coding after years away,2025-11-17T13:17:35Z
VplSjvnwG_Y,Boost your app's performance with CSS containment,2025-11-16T13:43:23Z
I2LoiJWCKxc,Vue.js grew organically thanks in large part to the community - which Evan You discusses here.,2025-11-15T13:32:35Z
ZK6XWSCCgPQ,Harvard CS50 prof David J. Malan on why you should learn programming slowly [Podcast #197],2025-11-14T15:01:11Z
MkeawaniGts,Don't settle for boring text underlines...make them more fun!,2025-11-14T13:18:21Z
G9JxuWk7BDA,Discrete Mathematics Course for Beginners,2025-11-13T14:14:28Z
f0Yq_wF_cIQ,"If you're struggling, don't isolate yourself - find someone you can talk to.",2025-11-13T12:52:30Z
GIZzRGYpCbM,n8n Course for Beginners – Build Complex Workflows & Master AI Integration,2025-11-12T14:00:26Z
oeWLnnjFmf8,Guess how many bugs NASA's space shuttle software had?,2025-11-12T13:29:31Z
a7B-JvPgTQs,This hackathon team built a tool to help blind and visually impaired people learn Braille,2025-11-11T13:05:37Z
Kt2E8nblvXU,Learn Vue.js – Tutorial for Beginners,2025-11-10T15:54:13Z
YXmDMqw7dYU,The HTML blink tag was SO annoying it got binned. The more you know...,2025-11-10T13:17:19Z
suuDVhYXe5Y,How Ania built a course that teaches devs to code their own AI agents,2025-11-09T13:43:25Z
f3UIwEZx47w,Z-index not working right? Here's how to fix your layering nightmares,2025-11-08T13:32:32Z
rgt5GPFgryI,Perfectionism holds new developers back with Abbey Perini [Podcast #196],2025-11-07T15:01:43Z
ealPKU_orJg,How to control underline spacing,2025-11-07T13:18:23Z
mjXLt97_Cr8,"Guitar Theory Course for Beginners – Learn Fretboard, Major Scale and Triads",2025-11-06T16:13:41Z
vK30T6wKauA,How to focus your efforts in the right directions when job hunting,2025-11-06T12:52:32Z
FqJuiLbgqNA,Have you ever wondered why we call it a bug?,2025-11-05T13:29:30Z
kb_scuDUHls,"Cryptography for Beginners - Full Python Course (SHA-256, AES, RSA, Passwords)",2025-11-04T15:35:10Z
