video_id,title,publish_date,year,month,title_length
9ZnDkjNpgZI,Learn English with THE OFFICE — Michael Scott Paper Company,2025-03-29 15:00:16+00:00,2025,3,59
2mWsO1CmJEc,Learn English with TANGLED — Rapunzel Heals Flynn,2025-03-26 12:00:04+00:00,2025,3,49
ErjErx3zFD8,Celebrating 10 Million Subscribers! 🥳,2025-03-24 18:04:09+00:00,2025,3,37
P26AE7NLx4Q,Learn English with PODCASTS — Why Tom Holland DELETED His Instagram,2025-03-22 15:02:59+00:00,2025,3,67
luKkn1_PA-w,Learn English with SUITS — Mike Meets Rachel,2025-03-19 14:27:54+00:00,2025,3,44
19iestleXXc,Learn English with ENCANTO,2025-03-15 14:00:02+00:00,2025,3,26
uuIZZc_CeFM,Learn English with FROZEN — Anna Meets Kristoff,2025-03-08 11:01:12+00:00,2025,3,47
bNRHNIvca-Y,Learn English with DEADPOOL — Advanced Lesson,2025-03-01 17:20:16+00:00,2025,3,45
0zbPeoZzcPg,Learn English with UP — Disney Movie,2025-02-26 15:05:00+00:00,2025,2,36
OuTtIzGhUDY,Learn English with THE DEVIL WEARS PRADA — Meryl Streep &amp; Anne Hathaway,2025-02-22 11:00:34+00:00,2025,2,75
WQeLu4i3p7Q,Learn English with Hercules — DISNEY CLASSIC,2025-02-19 15:12:09+00:00,2025,2,44
PzDpWDp-EqY,Learn English with WICKED,2025-02-15 11:00:34+00:00,2025,2,25
Rs_wuc9J4Wo,Improve Your English with TOM HANKS — Funny Interview,2025-02-08 15:23:11+00:00,2025,2,53
Sev_UnaqWmM,Learn English with SHREK — Donkey Meets Shrek,2025-02-05 15:35:32+00:00,2025,2,45
segUDGT3ARE,Learn English with DOCTOR HOUSE — House M.D.,2025-02-01 14:56:44+00:00,2025,2,44
JteHl9PQEIU,7 Best TV Series to Learn English in 2025,2025-01-29 15:00:22+00:00,2025,1,41
OV9jKCeFLSM,Learn English with WILL SMITH — Funny Story,2025-01-22 23:39:53+00:00,2025,1,43
X7A19Y66Cao,Learn English with DISNEY — The Hunchback of Notre Dame,2025-01-15 15:12:41+00:00,2025,1,55
LWibnPsZhxA,Learn English with PENGUINS of Madagascar — Taking Over the Ship,2025-01-01 14:45:01+00:00,2025,1,64
B7IQHfjlLDM,Learn English with HOME ALONE — Defending the House!,2024-12-18 20:32:44+00:00,2024,12,52
T7qLDgGN4Eg,Learn English with PRISON BREAK — The Beginning,2024-12-11 15:43:04+00:00,2024,12,47
3lPiU3QDpxk,Learn English with DUA LIPA,2024-11-27 15:48:55+00:00,2024,11,27
FZY1phel0UI,Learn English with Disney&#39;s THE PRINCESS DIARIES,2024-11-20 16:52:04+00:00,2024,11,52
Wn8X5JMgBAk,Learn English with TOM HANKS &amp; LEO DICAPRIO — Catch Me If You Can,2024-11-13 15:30:45+00:00,2024,11,69
_DC0U8vnxm4,Learn English with BREAKING BAD,2024-11-06 15:00:52+00:00,2024,11,31
-YPfe91SCFw,Learn English with NICOLE KIDMAN — The Perfect Couple,2024-10-30 15:36:53+00:00,2024,10,53
C1PIHitf6Tg,Learn English with RATATOUILLE — Linguini&#39;s Secret,2024-10-23 16:02:37+00:00,2024,10,54
IsaFWkazo1A,Learn English with KUNG FU PANDA — Stealth Mode!,2024-10-16 15:06:29+00:00,2024,10,48
-0g8d2A-nYA,Learn English with TOY STORY 3 — Meet Lotso the Bear,2024-10-02 17:00:21+00:00,2024,10,52
iuQsu4HOlrA,Learn English with PIRATES OF THE CARIBBEAN,2024-09-27 15:06:03+00:00,2024,9,43
o_HnKujOOOY,Learn English with SELENA GOMEZ,2024-09-04 15:04:20+00:00,2024,9,31
UpQF2gdw5RY,Learn English with ZOOTOPIA — New Lesson!,2024-08-21 15:29:25+00:00,2024,8,41
SruvBaQa4UA,Learn English with JENNIFER ANISTON — Funny Interview,2024-08-14 16:59:49+00:00,2024,8,53
sNyls5jrgvw,Learn English with The Chronicles of NARNIA — New Lesson!,2024-08-07 16:00:59+00:00,2024,8,57
